UNINUM,Number,Name,Address,County,City,State,Zip,Service.Type,Established.Date,Acquired.Date,X,Y
212448,8643,Harrison Crossing Branch,5636 Plank Rd,Spotsylvania,Fredericksburg,VA,22407,Full Service Brick and Mortar Office,02/08/1989,03/20/2010,-77.56530029999999,38.2905726
212451,8644,Courtland Branch,10424 Courthouse Road,Spotsylvania,Spotsylvania,VA,22553,Full Service Brick and Mortar Office,12/18/1989,03/20/2010,-77.5262473,38.2448348
212455,8646,Bellgrade Branch,11400 West Huguenot Road,Chesterfield,Midlothian,VA,23113,Full Service Brick and Mortar Office,04/06/1992,03/20/2010,-77.60868169999999,37.5259092
212457,8650,Ashburn Farm Branch,43780 Parkhurst Plaza,Loudoun,Ashburn,VA,20147,Full Service Brick and Mortar Office,03/03/1997,03/20/2010,-77.4874273,39.029961
212466,8692,Altavista Branch,1037 Main Street,Campbell,Altavista,VA,24517,Full Service Brick and Mortar Office,09/07/1954,03/20/2010,-79.28057009999999,37.1150382
212469,8694,Appomattox Branch,114 Moses St,Appomattox,Appomattox,VA,24522,Full Service Brick and Mortar Office,11/12/1962,03/20/2010,-78.8300134,37.3593902
212474,8696,Peakland Branch,4105 Boonsboro Road,Lynchburg City,Lynchburg,VA,24503,Full Service Brick and Mortar Office,08/21/1959,03/20/2010,-79.2023087,37.4431453
212475,8697,Langhorne Road Branch,2304 Langhorne Road,Lynchburg City,Lynchburg,VA,24501,Full Service Brick and Mortar Office,05/17/1961,03/20/2010,-79.1704334,37.4120649
212480,8698,Amelon Square Branch,118 Amelon Square,Amherst,Madison Heights,VA,24572,Full Service Brick and Mortar Office,11/07/1959,03/20/2010,-79.11880239999999,37.4686631
212481,8699,Rustburg Branch,819 Village Hwy,Campbell,Rustburg,VA,24588,Full Service Brick and Mortar Office,10/01/1963,03/20/2010,-79.1003814,37.2767153
212484,8700,Clarksville Branch,215 Virginia Avenue,Mecklenburg,Clarksville,VA,23927,Full Service Brick and Mortar Office,11/01/1966,03/20/2010,-78.55477259999999,36.6255068
212485,8701,Chase City Branch,525 North Main Street,Mecklenburg,Chase City,VA,23924,Full Service Brick and Mortar Office,12/12/1966,03/20/2010,-78.4596088,36.8022764
212486,8702,Amelia Branch,9100 Virginia Street,Amelia,Amelia Court House,VA,23002,Full Service Brick and Mortar Office,07/01/1967,03/20/2010,-77.9816719,37.3418729
212487,8703,Farmville Branch,127 North Main Street,Prince Edward,Farmville,VA,23901,Full Service Brick and Mortar Office,02/26/1968,03/20/2010,-78.3926214,37.3023341
212490,8705,Waterlick Plaza Branch,21513 Timberlake Road,Campbell,Lynchburg,VA,24502,Full Service Brick and Mortar Office,11/24/1972,03/20/2010,-79.2475126,37.3288505
212491,8707,River Ridge Branch,3408 Candlers Mountain Road,Lynchburg City,Lynchburg,VA,24502,Full Service Brick and Mortar Office,09/08/1980,03/20/2010,-79.1743189,37.3675629
212661,7805,Denbigh Branch,441 Denbigh Boulevard,Newport News City,Newport News,VA,23608,Full Service Brick and Mortar Office,09/23/1974,03/20/2010,-76.5338971,37.1309815
212733,8635,Orange Shopping Center Branch,595 North Madison Road,Orange,Orange,VA,22960,Full Service Brick and Mortar Office,02/01/1965,03/20/2010,-78.11506059999999,38.2576501
212735,8634,Germanna Branch,5505 Germanna Hwy,Orange,Locust Grove,VA,22508,Full Service Brick and Mortar Office,08/31/1970,03/20/2010,-77.7282632,38.3271565
212759,8656,Midcity Branch,900 Frederick Boulevard,Portsmouth City,Portsmouth,VA,23707,Full Service Brick and Mortar Office,04/21/1960,03/20/2010,-76.3413465,36.83099199999999
212761,8658,Suffolk Main Street Branch,201 North Main Street,Suffolk City,Suffolk,VA,23434,Full Service Brick and Mortar Office,01/03/1967,03/20/2010,-76.58275239999999,36.7302936
212763,8659,Deep Creek Branch,1064 George Washington Highway,Chesapeake City,Chesapeake,VA,23323,Full Service Brick and Mortar Office,02/15/1973,03/20/2010,-76.3373684,36.7800758
