UNINUM,Number,Name,Address,County,City,State,Zip,Service Type,Established Date,Acquired Date
197330,322,Hawthorne Main Branch,13545 Hawthorne Boulevard,Los Angeles,Hawthorne,CA,90250,Full Service Brick and Mortar Office,08/02/1965,10/19/1973
197331,323,Newland Center Branch,19840 Beach Boulevard,Orange,Huntington Beach,CA,92648,Full Service Brick and Mortar Office,04/12/1963,10/19/1973
197333,325,La Jolla/Girard Branch,7714 Girard Avenue,San Diego,La Jolla,CA,92037,Full Service Brick and Mortar Office,06/18/1956,10/19/1973
197352,344,Redlands Branch,220 East State Street,San Bernardino,Redlands,CA,92373,Full Service Brick and Mortar Office,05/26/1961,10/19/1973
197354,346,Palos Verdes Branch,27440 Hawthorne Boulevard,Los Angeles,Rolling Hills Estates,CA,90274,Full Service Brick and Mortar Office,10/10/1960,10/19/1973
197356,348,33rd & El Cajon Branch,3299 El Cajon Boulevard,San Diego,San Diego,CA,92104,Full Service Brick and Mortar Office,03/03/1952,10/19/1973
197358,350,Pacific Beach Branch,1302 Garnet Avenue,San Diego,San Diego,CA,92109,Full Service Brick and Mortar Office,06/26/1950,10/19/1973
197382,982,Ceres Branch,2905 4th Street,Stanislaus,Ceres,CA,95307,Full Service Brick and Mortar Office,11/01/1962,03/31/1990
197406,988,Rialto Branch,190 West Foothill Boulevard,San Bernardino,Rialto,CA,92376,Full Service Brick and Mortar Office,08/15/1963,03/31/1990
197412,990,Highland Arrowhead Branch,296 West Highland Avenue,San Bernardino,San Bernardino,CA,92405,Full Service Brick and Mortar Office,06/15/1960,03/31/1990
198089,6419,Point Reyes Station Branch,11400 State Route 1,Marin,Point Reyes Station,CA,94956,Full Service Brick and Mortar Office,11/03/1930,03/15/2008
199319,13,Arcata Branch,1103 G Street,Humboldt,Arcata,CA,95521,Full Service Brick and Mortar Office,06/16/1956,
199325,19,Bakersfield Downtown Branch,1300 22nd Street,Kern,Bakersfield,CA,93301,Full Service Brick and Mortar Office,03/18/1935,
199333,28,Wilshire Crescent Branch,9354 Wilshire Boulevard,Los Angeles,Beverly Hills,CA,90212,Full Service Brick and Mortar Office,02/14/1958,
199335,30,Burbank Branch,900 North San Fernando Boulevard,Los Angeles,Burbank,CA,91504,Full Service Brick and Mortar Office,12/29/1954,
199341,36,City Of Commerce Branch,5701 South Eastern Avenue,Los Angeles,City Of Commerce,CA,90040,Full Service Brick and Mortar Office,04/17/1951,
199342,37,Colusa Branch,501 Market Street,Colusa,Colusa,CA,95932,Full Service Brick and Mortar Office,08/23/1954,
199348,44,Serramonte Branch,135 Serramonte Center,San Mateo,Daly City,CA,94015,Full Service Brick and Mortar Office,09/18/1961,
199351,47,Eureka Branch,605 G Street,Humboldt,Eureka,CA,95501,Full Service Brick and Mortar Office,01/31/1955,
199353,49,Gold River Branch,2010 Gold Field Drive,Sacramento,Rancho Cordova,CA,95670,Full Service Brick and Mortar Office,02/28/1955,
199358,54,Fashion Fair Branch,710 East Shaw Avenue,Fresno,Fresno,CA,93710,Full Service Brick and Mortar Office,10/17/1957,
